,OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,GarageYrBlt,MasVnrArea,Fireplaces,HeatingQC,BsmtQual,KitchenQual,ExterQual
0,7,1710,2,548,856,856,2,8,2003,2003,2003.0,196.0,0,0,2,2,2
1,6,1262,2,460,1262,1262,2,6,1976,1976,1976.0,0.0,1,0,2,3,3
2,7,1786,2,608,920,920,2,6,2001,2002,2001.0,162.0,1,0,2,2,2
3,7,1717,3,642,756,961,1,7,1915,1970,1998.0,0.0,1,2,3,2,3
4,8,2198,3,836,1145,1145,2,9,2000,2000,2000.0,350.0,1,0,2,2,2
5,5,1362,2,480,796,796,1,5,1993,1995,1993.0,0.0,0,0,2,3,3
6,8,1694,2,636,1686,1694,2,7,2004,2005,2004.0,186.0,1,0,0,2,2
7,7,2090,2,484,1107,1107,2,7,1973,1973,1973.0,240.0,2,0,2,3,3
8,7,1774,2,468,952,1022,2,8,1931,1950,1931.0,0.0,2,2,3,3,3
9,5,1077,1,205,991,1077,1,5,1939,1950,1939.0,0.0,2,0,3,3,3
10,5,1040,1,384,1040,1040,1,5,1965,1965,1965.0,0.0,0,0,3,3,3
11,9,2324,3,736,1175,1182,3,11,2005,2006,2005.0,286.0,2,0,0,0,0
12,5,912,1,352,912,912,1,4,1962,1962,1962.0,0.0,0,4,3,3,3
13,7,1494,3,840,1494,1494,2,7,2006,2007,2006.0,306.0,1,0,2,2,2
14,6,1253,1,352,1253,1253,1,5,1960,1960,1960.0,212.0,1,4,3,3,3
15,7,854,2,576,832,854,1,5,1929,2001,1991.0,0.0,0,0,3,3,3
16,6,1004,2,480,1004,1004,1,5,1970,1970,1970.0,180.0,1,0,3,3,3
17,4,1296,2,516,0,1296,2,6,1967,1967,1967.0,0.0,0,4,-1,3,3
18,5,1114,2,576,1114,1114,1,6,2004,2004,2004.0,0.0,0,0,3,2,3
19,5,1339,1,294,1029,1339,1,6,1958,1965,1958.0,0.0,0,4,3,3,3
20,8,2376,3,853,1158,1158,3,9,2005,2006,2005.0,380.0,1,0,0,2,2
21,7,1108,1,280,637,1108,1,6,1930,1950,1930.0,0.0,1,0,3,2,3
22,8,1795,2,534,1777,1795,2,7,2002,2002,2002.0,281.0,1,0,2,2,2
23,5,1060,2,572,1040,1060,1,6,1976,1976,1976.0,0.0,1,4,2,3,3
24,5,1060,1,270,1060,1060,1,6,1968,2001,1968.0,0.0,1,0,3,2,3
25,8,1600,3,890,1566,1600,2,7,2007,2007,2007.0,640.0,1,0,2,2,2
26,5,900,2,576,900,900,1,5,1951,2000,2005.0,0.0,0,4,3,2,3
27,8,1704,3,772,1704,1704,2,7,2007,2008,2008.0,200.0,1,0,0,2,2
28,5,1600,1,319,1484,1600,1,6,1957,1997,1957.0,0.0,2,4,3,3,3
29,4,520,1,240,520,520,1,4,1927,1950,1920.0,0.0,0,1,3,1,3
30,4,1317,1,250,649,649,1,6,1920,1950,1920.0,0.0,0,4,3,3,3
